ContractID,SupplierID,ContractStart,ContractEnd,ContractValue,Renewed,ContractCycleTimeDays
CON3000,SUP1032,2024-11-08,2026-11-08,458464.27,False,45
CON3001,SUP1012,2024-12-21,2025-06-19,457088.36,True,36
CON3002,SUP1010,2024-08-11,2026-08-11,306735.1,True,19
CON3003,SUP1016,2025-04-09,2027-04-09,813794.99,True,15
CON3004,SUP1034,2025-01-19,2027-01-19,448367.24,True,54
CON3005,SUP1020,2024-07-13,2025-01-09,303908.51,False,58
CON3006,SUP1040,2024-12-13,2025-06-11,417814.06,True,42
CON3007,SUP1042,2024-12-09,2026-12-09,714574.93,True,41
CON3008,SUP1016,2024-09-21,2025-09-21,356480.58,False,41
CON3009,SUP1028,2024-11-04,2025-11-04,407086.51,True,22
CON3010,SUP1033,2024-07-09,2025-01-05,873565.33,True,41
CON3011,SUP1007,2024-07-13,2025-07-13,54722.85,True,18
CON3012,SUP1027,2025-02-17,2025-08-16,84909.72,True,45
CON3013,SUP1035,2025-01-31,2026-01-31,164392.25,True,55
CON3014,SUP1014,2025-01-27,2025-07-26,300701.61,True,21
CON3015,SUP1012,2025-06-17,2025-12-14,708353.71,False,22
CON3016,SUP1036,2024-07-29,2025-07-29,572960.31,False,22
CON3017,SUP1010,2025-04-10,2025-10-07,334192.95,False,16
CON3018,SUP1005,2024-10-02,2026-10-02,56118.93,True,55
CON3019,SUP1007,2025-03-05,2026-03-05,322484.61,True,52
CON3020,SUP1039,2024-10-21,2025-10-21,131967.19,True,23
CON3021,SUP1000,2024-08-27,2025-08-27,75814.05,True,46
CON3022,SUP1013,2025-01-09,2026-01-09,589892.24,True,15
CON3023,SUP1024,2024-11-27,2025-05-26,654005.09,True,20
CON3024,SUP1019,2025-02-05,2027-02-05,832243.92,True,14
CON3025,SUP1027,2025-06-19,2025-12-16,885769.56,True,20
CON3026,SUP1037,2025-02-07,2027-02-07,752718.3,True,43
CON3027,SUP1001,2024-09-30,2026-09-30,886821.3,False,13
CON3028,SUP1005,2025-03-26,2025-09-22,63737.52,True,44
CON3029,SUP1013,2024-08-19,2025-08-19,339055.89,True,35
CON3030,SUP1034,2024-10-03,2025-04-01,450225.87,False,50
CON3031,SUP1040,2025-07-05,2026-01-01,179867.16,True,54
CON3032,SUP1032,2025-06-21,2027-06-21,620413.82,True,48
CON3033,SUP1046,2025-02-18,2026-02-18,788795.49,True,25
CON3034,SUP1033,2024-10-22,2025-10-22,846845.36,False,18
CON3035,SUP1027,2025-02-15,2026-02-15,590149.91,True,51
CON3036,SUP1045,2024-11-12,2025-11-12,839937.89,True,55
CON3037,SUP1045,2024-11-26,2025-11-26,429820.78,True,23
CON3038,SUP1006,2024-12-04,2025-12-04,271185.95,True,13
CON3039,SUP1037,2024-10-25,2025-04-23,231896.4,True,41
CON3040,SUP1011,2025-05-15,2026-05-15,597645.31,True,12
CON3041,SUP1023,2025-03-29,2026-03-29,649649.64,False,44
CON3042,SUP1022,2025-05-30,2025-11-26,149741.9,True,45
CON3043,SUP1025,2024-12-22,2026-12-22,235146.88,False,39
CON3044,SUP1042,2024-12-14,2026-12-14,980776.49,False,40
CON3045,SUP1040,2024-11-20,2025-11-20,721290.99,False,47
CON3046,SUP1011,2024-09-06,2025-09-06,85767.29,True,48
CON3047,SUP1021,2025-03-25,2026-03-25,536951.86,True,32
CON3048,SUP1029,2025-06-02,2027-06-02,701700.53,False,31
