ItemID,Category,InventoryTurnover,StockOutRate,DemandForecastAccuracy
ITEM5000,Category_3,10.08,0.0666,0.9
ITEM5001,Category_6,4.1,0.0067,0.81
ITEM5002,Category_3,10.15,0.0982,0.97
ITEM5003,Category_2,1.93,0.0605,0.84
ITEM5004,Category_1,2.92,0.0548,0.79
ITEM5005,Category_7,11.36,0.0182,0.82
ITEM5006,Category_4,8.71,0.0308,0.75
ITEM5007,Category_3,6.41,0.0579,0.83
ITEM5008,Category_9,1.07,0.0122,0.96
ITEM5009,Category_9,4.7,0.0576,0.88
ITEM5010,Category_1,7.93,0.0621,0.72
ITEM5011,Category_10,7.54,0.0901,0.78
ITEM5012,Category_2,5.12,0.037,0.77
ITEM5013,Category_4,9.46,0.0117,0.84
ITEM5014,Category_7,11.36,0.0914,0.83
ITEM5015,Category_7,6.58,0.0638,0.96
ITEM5016,Category_4,5.0,0.049,0.71
ITEM5017,Category_5,9.67,0.0288,0.8
ITEM5018,Category_8,2.46,0.0556,0.78
ITEM5019,Category_7,7.68,0.0625,0.79
ITEM5020,Category_1,2.74,0.0299,0.76
ITEM5021,Category_3,8.62,0.0717,0.7
ITEM5022,Category_7,3.76,0.0251,0.7
ITEM5023,Category_9,11.07,0.0175,0.89
ITEM5024,Category_1,1.02,0.0513,0.88
ITEM5025,Category_2,6.12,0.0077,0.74
ITEM5026,Category_7,7.12,0.0158,0.95
ITEM5027,Category_1,6.17,0.0074,1.0
ITEM5028,Category_5,10.08,0.0975,0.82
ITEM5029,Category_8,8.89,0.0366,0.71
ITEM5030,Category_10,9.78,0.0269,0.91
ITEM5031,Category_7,10.1,0.0739,0.75
ITEM5032,Category_10,8.65,0.013,0.98
ITEM5033,Category_6,11.05,0.0009,0.77
ITEM5034,Category_8,7.42,0.0687,0.81
ITEM5035,Category_7,6.48,0.0136,0.88
ITEM5036,Category_8,9.31,0.0012,0.95
ITEM5037,Category_3,4.36,0.0281,0.99
ITEM5038,Category_9,2.39,0.039,0.8
ITEM5039,Category_4,10.58,0.0633,0.89
ITEM5040,Category_10,5.91,0.0587,0.79
ITEM5041,Category_9,8.65,0.0415,0.83
ITEM5042,Category_2,2.79,0.0949,0.98
ITEM5043,Category_8,7.96,0.0436,0.85
ITEM5044,Category_7,11.25,0.0337,0.73
ITEM5045,Category_9,5.29,0.0354,0.86
ITEM5046,Category_10,8.58,0.0296,0.84
ITEM5047,Category_8,7.56,0.0287,0.96
ITEM5048,Category_3,3.92,0.0504,0.88
ITEM5049,Category_5,4.73,0.0318,1.0
ITEM5050,Category_7,3.35,0.0502,0.79
ITEM5051,Category_4,2.19,0.0967,0.85
ITEM5052,Category_10,2.5,0.0504,0.89
ITEM5053,Category_2,3.64,0.0287,0.78
ITEM5054,Category_6,10.29,0.0234,0.9
ITEM5055,Category_9,2.99,0.0752,0.88
ITEM5056,Category_9,8.36,0.0176,0.94
ITEM5057,Category_5,5.93,0.0454,0.79
ITEM5058,Category_2,8.86,0.097,0.84
ITEM5059,Category_9,8.9,0.0894,0.87
ITEM5060,Category_4,6.54,0.0023,0.93
ITEM5061,Category_6,4.83,0.0647,0.91
ITEM5062,Category_2,4.82,0.0678,0.95
ITEM5063,Category_7,5.19,0.072,0.78
ITEM5064,Category_9,7.37,0.0371,0.83
ITEM5065,Category_9,6.43,0.0477,0.94
ITEM5066,Category_10,1.23,0.0257,0.86
ITEM5067,Category_2,2.88,0.0982,0.76
ITEM5068,Category_6,4.27,0.0607,0.72
ITEM5069,Category_7,7.35,0.0265,0.95
ITEM5070,Category_1,9.47,0.0288,0.96
ITEM5071,Category_2,10.71,0.0744,0.86
ITEM5072,Category_1,3.39,0.0901,0.96
ITEM5073,Category_6,6.59,0.0808,0.77
ITEM5074,Category_8,11.83,0.0966,0.88
ITEM5075,Category_9,9.75,0.0036,0.84
ITEM5076,Category_3,7.77,0.0918,0.95
ITEM5077,Category_3,8.72,0.0057,0.73
ITEM5078,Category_4,1.31,0.0796,0.88
ITEM5079,Category_5,10.57,0.0838,0.79
ITEM5080,Category_4,3.89,0.0214,0.92
ITEM5081,Category_10,3.05,0.0146,0.84
ITEM5082,Category_8,8.08,0.0302,0.88
ITEM5083,Category_9,4.56,0.0938,0.78
ITEM5084,Category_2,2.88,0.0491,0.88
ITEM5085,Category_1,9.95,0.0589,0.99
ITEM5086,Category_2,9.18,0.0054,0.95
ITEM5087,Category_6,1.9,0.0093,0.88
ITEM5088,Category_5,5.78,0.0205,0.75
ITEM5089,Category_5,10.76,0.0988,0.98
ITEM5090,Category_7,4.94,0.0133,0.96
ITEM5091,Category_8,6.42,0.0437,0.75
ITEM5092,Category_8,7.78,0.0563,0.77
ITEM5093,Category_8,6.19,0.0543,0.73
ITEM5094,Category_4,8.05,0.0477,0.75
ITEM5095,Category_2,5.56,0.0996,0.72
ITEM5096,Category_9,3.7,0.0473,0.74
ITEM5097,Category_5,1.01,0.0287,0.85
ITEM5098,Category_10,6.14,0.0464,0.75
ITEM5099,Category_3,7.58,0.0223,0.89
ITEM5100,Category_2,4.59,0.0679,0.95
ITEM5101,Category_1,1.72,0.0095,0.83
ITEM5102,Category_6,1.19,0.0632,1.0
ITEM5103,Category_10,11.1,0.0082,0.71
ITEM5104,Category_10,4.8,0.0537,0.86
ITEM5105,Category_9,9.27,0.0437,0.82
ITEM5106,Category_1,10.59,0.0524,0.76
ITEM5107,Category_3,6.13,0.0464,0.79
ITEM5108,Category_8,8.61,0.0361,0.73
ITEM5109,Category_2,9.09,0.0154,0.74
ITEM5110,Category_6,1.39,0.0915,0.98
ITEM5111,Category_3,7.57,0.0386,0.81
ITEM5112,Category_2,2.02,0.0675,0.88
ITEM5113,Category_2,7.22,0.0317,0.84
ITEM5114,Category_7,5.99,0.0659,0.76
ITEM5115,Category_6,2.13,0.0932,0.72
ITEM5116,Category_8,11.76,0.0328,0.78
ITEM5117,Category_2,9.95,0.0959,0.76
ITEM5118,Category_1,2.99,0.0149,0.98
ITEM5119,Category_4,10.19,0.0924,0.75
ITEM5120,Category_6,3.42,0.0772,0.92
ITEM5121,Category_5,8.37,0.0895,0.9
ITEM5122,Category_1,3.16,0.0865,0.84
ITEM5123,Category_10,3.67,0.0575,0.82
ITEM5124,Category_10,11.6,0.0309,0.73
ITEM5125,Category_9,11.82,0.0076,0.81
ITEM5126,Category_8,9.1,0.0377,0.7
ITEM5127,Category_2,11.81,0.0016,1.0
ITEM5128,Category_1,3.37,0.0563,0.77
ITEM5129,Category_2,2.16,0.0138,0.86
ITEM5130,Category_1,7.38,0.0913,0.72
ITEM5131,Category_4,1.24,0.0306,0.82
ITEM5132,Category_7,11.47,0.0465,0.78
ITEM5133,Category_10,5.97,0.0019,0.97
ITEM5134,Category_6,10.68,0.0289,1.0
ITEM5135,Category_4,6.06,0.0084,0.92
ITEM5136,Category_10,6.28,0.0259,0.95
ITEM5137,Category_9,3.65,0.0151,0.88
ITEM5138,Category_2,1.21,0.0951,0.81
